,index,ticker,Date,open,high,low,close,volume,dividend,split,adj_open,adj_high,adj_low,Adj Close,adj_volume
3752,15807275,SPY,2008-10-09,99.660004,100.620003,90.25,90.699997,534485200.0,0.0,1.0,72.82552219359785,73.52703158226224,65.94925862106332,66.27808929731488,534485200.0
3753,15807276,SPY,2008-10-08,97.519997,102.18,96.809998,97.510002,725414800.0,0.0,1.0,71.2617341039149,74.6669833340748,70.74290964217865,71.2544303605363,725414800.0
3754,15807277,SPY,2008-10-07,106.839996,107.330002,99.650002,100.029999,540012100.0,0.0,1.0,78.07222744905674,78.43029429027416,72.8182133350413,73.09589223175297,540012100.0
3755,15807280,SPY,2008-10-06,107.150002,107.620003,100.639999,104.720001,610637500.0,0.0,1.0,78.2987611428859,78.64220953625053,73.54164345345767,76.52306292240453,610637500.0
3756,15807281,SPY,2008-10-03,112.860001,115.449997,109.68,110.339996,461798000.0,0.0,1.0,82.4712841431852,84.36389706320205,80.1475311419194,80.62981642605088,461798000.0
3757,15807285,SPY,2008-10-02,114.949997,115.110001,111.059998,111.849998,365337800.0,0.0,1.0,83.99852720934574,84.1154484855386,81.15595047708338,81.73323484617634,365337800.0
3758,15807286,SPY,2008-09-30,113.510002,116.800003,110.529999,115.989998,328154400.0,0.0,1.0,82.94626568393811,85.35040005305233,80.7686591627354,84.75849723610656,328154400.0
3759,15807287,SPY,2008-09-29,119.139999,119.339996,110.970001,111.379997,459562300.0,0.0,1.0,87.06032804614101,87.2064737954644,81.09018609560837,81.38978645281172,459562300.0
3760,15807288,SPY,2008-09-26,118.830002,121.5,118.510002,120.849998,285917400.0,0.0,1.0,86.83380092896921,88.78487448708248,86.59996422250119,88.30989221558987,285917400.0
3761,15807289,SPY,2008-09-25,119.400002,121.910004,118.440002,120.790001,328253000.0,0.0,1.0,87.25032256236541,89.08448069020348,86.5488124429613,88.26605002534623,328253000.0
3762,15807290,SPY,2008-09-24,119.349998,120.0,117.790001,118.93,311818400.0,0.0,1.0,87.21378265402095,87.68876492551355,86.0738309022084,86.90687343826107,311818400.0
3763,15807291,SPY,2008-09-23,120.849998,122.019997,118.279999,118.550003,327470400.0,0.0,1.0,88.30989221558987,89.16485694287391,86.43189189750817,86.6291945415494,327470400.0
3764,15807292,SPY,2008-09-22,124.449997,124.75,120.360001,121.309998,249966500.0,0.0,1.0,90.94055443261556,91.15977853714848,87.9518319510298,88.64603248113767,249966500.0
3765,15807293,SPY,2008-09-19,126.699997,128.0,123.330002,124.120003,501087800.0,0.691,1.0,92.58471877496892,93.53468258721446,90.12212961367597,90.69941471350865,501087800.0
3766,15807294,SPY,2008-09-18,118.050003,121.790001,113.800003,120.07,776114700.0,0.0,1.0,85.78623616243145,88.50407049975901,82.69778640025454,87.2541559869604,776114700.0
3767,15807295,SPY,2008-09-17,119.639999,121.849998,116.0,116.610001,624095600.0,0.0,1.0,86.94167681374022,88.54766996337814,84.29651115588746,84.73979526021162,624095600.0
3768,15807296,SPY,2008-09-16,117.199997,122.32,117.0,122.099998,581744300.0,0.0,1.0,85.1685418498317,88.88921762575994,85.02320521757615,88.72934347880032,581744300.0
