Date,Ark
2015-07-06,-0.007059396251474448
2015-07-07,-0.005592979553417199
2015-07-08,-0.00953283122750237
2015-07-09,0.008181086873980448
2015-07-10,0.010501168517176085
2015-07-13,0.012753808221541263
2015-07-14,0.005830163715997205
2015-07-15,-0.006955722323879643
2015-07-16,0.020219420576502056
2015-07-17,0.0032954416394843644
2015-07-20,0.0013688075223861063
2015-07-21,-0.00364477870429325
2015-07-22,-0.0100594206379081
2015-07-23,0.006928316056718398
2015-07-24,0.004587225787123561
2015-07-27,-0.011415505062968512
2015-07-28,0.014780648394867146
2015-07-29,-0.006827498821758593
2015-07-30,-0.007791057501439158
2015-07-31,-0.006928316056718287
2015-08-03,-0.018139552121499425
2015-08-04,-0.0028423577281763146
2015-08-05,0.00237533292514458
2015-08-06,-0.014218024195483125
