Date,ARKK,IEF,SHY,TLT,^IRX
2019-11-06,45.220001220703125,111.27999877929688,84.69000244140625,137.97999572753906,1.5149999856948853
2019-11-07,45.209999084472656,110.38999938964844,84.58999633789062,135.47999572753906,1.5180000066757202
2019-11-08,45.849998474121094,110.23999786376952,84.5999984741211,134.91000366210938,1.5099999904632568
2019-11-11,46.31999969482422,110.36000061035156,84.62000274658203,135.0,1.5130000114440918
2019-11-12,46.650001525878906,110.41000366210938,84.62999725341797,135.6199951171875,1.5329999923706057
2019-11-13,46.369998931884766,110.70999908447266,84.66999816894531,136.5,1.534999966621399
2019-11-14,46.560001373291016,111.2699966430664,84.75,137.91000366210938,1.527999997138977
2019-11-15,47.400001525878906,111.18000030517578,84.72000122070312,137.75999450683594,1.527999997138977
2019-11-18,47.400001525878906,111.37000274658205,84.76000213623047,138.00999450683594,1.5230000019073486
2019-11-19,48.45000076293945,111.58000183105467,84.75,139.16000366210938,1.524999976158142
2019-11-20,48.43000030517578,111.98999786376952,84.79000091552734,140.60000610351562,1.5199999809265137
2019-11-21,48.150001525878906,111.70999908447266,84.75,139.72000122070312,1.5299999713897705
2019-11-22,48.41999816894531,111.69000244140624,84.73999786376953,139.89999389648438,1.5429999828338623
2019-11-25,49.66999816894531,111.73999786376952,84.75,140.30999755859375,1.5449999570846558
2019-11-26,50.0,111.9499969482422,84.79000091552734,141.1300048828125,1.565000057220459
2019-11-27,50.22999954223633,111.66000366210938,84.73999786376953,140.72000122070312,1.565000057220459
2019-11-29,50.43000030517578,111.56999969482422,84.7699966430664,140.4199981689453,1.5399999618530271
2019-12-02,48.959999084472656,111.01000213623048,84.61000061035156,138.30999755859375,1.537999987602234
2019-12-03,49.09000015258789,112.0,84.7300033569336,141.2100067138672,1.537999987602234
2019-12-04,49.189998626708984,111.56999969482422,84.69000244140625,139.8000030517578,1.4980000257492063
2019-12-05,48.959999084472656,111.30999755859376,84.6500015258789,139.1199951171875,1.493000030517578
2019-12-06,49.459999084472656,110.97000122070312,84.62000274658203,138.35000610351562,1.4800000190734863
2019-12-09,49.04999923706055,111.05999755859376,84.62000274658203,138.64999389648438,1.4980000257492063
2019-12-10,49.2599983215332,110.93000030517578,84.58000183105469,138.66000366210938,1.5149999856948853
2019-12-11,48.970001220703125,111.38999938964844,84.6500015258789,139.75,1.5199999809265137
2019-12-12,49.400001525878906,110.51000213623048,84.56999969482422,137.4499969482422,1.5299999713897705
2019-12-13,49.099998474121094,111.16000366210938,84.66999816894531,139.0399932861328,1.5230000019073486
2019-12-16,50.22999954223633,110.63999938964844,84.62000274658203,137.7899932861328,1.524999976158142
2019-12-17,50.18000030517578,110.6500015258789,84.63999938964844,137.60000610351562,1.5299999713897705
2019-12-18,50.540000915527344,110.3499984741211,84.6500015258789,136.47000122070312,1.5180000066757202
2019-12-19,50.869998931884766,110.27999877929688,84.52999877929688,136.47000122070312,1.5329999923706057
2019-12-20,50.959999084472656,110.27999877929688,84.52999877929688,136.64999389648438,1.527999997138977
2019-12-23,51.59000015258789,110.18000030517578,84.51000213623047,136.4499969482422,1.5199999809265137
2019-12-24,51.81999969482422,110.37000274658205,84.5199966430664,136.83999633789062,1.537999987602234
2019-12-26,51.77000045776367,110.52999877929688,84.55000305175781,137.1699981689453,1.534999966621399
