Date,QQQ
2015-07-24,10.480805552064009
2015-07-27,9.565922587354159
2015-07-28,10.510619504176333
2015-07-29,10.928276359644528
2015-07-30,11.455324593682747
2015-07-31,11.326057247037857
2015-08-03,10.978007143252944
2015-08-04,10.769162370150354
2015-08-05,11.62438473989862
2015-08-06,9.834419782734116
2015-08-07,9.695214452051793
2015-08-10,10.948176845772162
2015-08-11,9.5261297877832
2015-08-12,9.904002016364677
2015-08-13,9.725044749532575
2015-08-14,9.894080377695701
2015-08-17,10.808971515089816
2015-08-18,10.242122308796397
2015-08-19,9.516183631061526
2015-08-20,6.483177918845606
2015-08-21,1.8293000864179954
2015-08-24,-2.0887828110797035
2015-08-25,-2.4566925375710147
2015-08-26,2.45577719693606
2015-08-27,5.051209222187691
2015-08-28,5.031341426797065
