Date,ARKK,SPY,ZF=F,ZN=F,ZT=F
2015-07-21,19.736129760742188,179.0274658203125,119.1875,126.203125,109.4140625
2015-07-22,19.537593841552734,178.70614624023438,119.15625,126.3125,109.3671875
2015-07-23,19.672958374023438,177.7000732421875,119.3203125,126.609375,109.40625
2015-07-24,19.763202667236328,175.8569793701172,119.421875,126.71875,109.4375
2015-07-27,19.537593841552734,174.83395385742188,119.703125,127.15625,109.515625
2015-07-28,19.826370239257812,176.98138427734375,119.6328125,127.0,109.5
2015-07-29,19.691007614135742,178.1989288330078,119.546875,126.8125,109.4609375
2015-07-30,19.537593841552734,178.24118041992188,119.46875,126.84375,109.40625
2015-07-31,19.402231216430664,177.97061157226562,119.84375,127.4375,109.53125
2015-08-03,19.050283432006836,177.3703155517578,119.9921875,127.828125,109.5546875
2015-08-04,18.996137619018555,177.0237274169922,119.5703125,127.265625,109.4140625
2015-08-05,19.041255950927734,177.60702514648438,119.328125,126.75,109.390625
2015-08-06,18.77052879333496,176.15289306640625,119.46875,127.015625,109.4296875
2015-08-07,18.749773025512695,175.81466674804688,119.609375,127.453125,109.3828125
2015-08-10,19.20369529724121,178.0298309326172,119.453125,127.015625,109.390625
2015-08-11,18.9492130279541,176.42337036132812,119.921875,127.859375,109.515625
2015-08-12,18.77052879333496,176.63479614257812,120.0390625,127.96875,109.5703125
2015-08-13,18.940189361572266,176.41494750976562,119.703125,127.484375,109.453125
2015-08-14,18.914918899536133,177.0574951171875,119.5859375,127.359375,109.421875
2015-08-17,19.05660057067871,178.04669189453125,119.796875,127.765625,109.4609375
2015-08-18,18.932966232299805,177.53097534179688,119.703125,127.453125,109.4453125
2015-08-19,18.72540855407715,176.1275177001953,120.109375,128.09375,109.5625
2015-08-20,17.949317932128906,172.44970703125,120.140625,128.328125,109.515625
2015-08-21,17.62444305419922,167.25856018066406,120.4140625,128.671875,109.609375
2015-08-24,17.11005973815918,160.21578979492188,120.7734375,129.203125,109.75
2015-08-25,17.48908042907715,158.33042907714844,120.234375,128.0625,109.6015625
2015-08-26,17.547740936279297,164.40933227539062,120.2734375,127.9375,109.6328125
2015-08-27,18.088294982910156,168.47605895996094,120.203125,127.953125,109.6015625
2015-08-28,18.26517105102539,168.48443603515625,119.953125,127.78125,109.5078125
2015-08-31,18.13882827758789,167.1233367919922,119.8125,127.640625,109.4609375
2015-09-01,17.48005485534668,162.13507080078125,119.984375,127.875,109.515625
2015-09-02,17.674076080322266,165.21253967285156,119.8984375,127.734375,109.5
2015-09-03,17.877124786376953,165.33090209960938,120.078125,127.953125,109.5546875
2015-09-04,17.525175094604492,162.8283233642578,120.1953125,128.296875,109.5625
2015-09-08,18.066635131835938,166.9203643798828,119.9453125,127.828125,109.5
